职位,公司简称,工作地点,薪资,工作经验,学历,技能标签,行业,融资状况,公司人数
集成/交付类交付项目经理,腾讯,广州,30-60K·18薪,3-5年,本科,"项目管理,IT项目管理,分布式技术,大数据",互联网,已上市,10000人以上
JAVA后台开发工程师,腾讯,广州·天河区,30-60K·16薪,5-10年,本科,"Spring,Dubbo,Hadoop,Spark,MySQL,Redis,Oracle,Java",互联网,已上市,10000人以上
自研引擎资深研发专家-通用方向,网易杭州,广州·天河区,40-70K,3-5年,本科,"C++,游戏引擎,U3D开发,UE4开发,游戏",互联网,已上市,10000人以上
资深游戏技术美术TA,网易杭州,广州,40-70K,3-5年,本科,"U3D开发,UE4开发,游戏引擎,游戏",互联网,已上市,10000人以上
工业互联网架构师,碧桂园房地产有限公司,广州,30-50K,3-5年,本科,系统架构,房地产开发,已上市,10000人以上
Java,阿里巴巴集团,广州·海珠区,25-50K·16薪,3-5年,本科,"Java,后端开发,数据库",互联网,不需要融资,10000人以上
【博士】机器人人工智能相关方向,碧桂园,广州·荔湾区,40-50K,经验不限,博士,"机器学习,算法,人工智能",房地产开发,已上市,10000人以上
AI研究主管,科大讯飞,广州·南沙区,30-60K,3-5年,硕士,"人工智能,机器学习,算法",移动互联网,已上市,10000人以上
资深JAVA工程师,心怡供应链,广州,25-50K·13薪,5-10年,本科,"Java,计算机软件,Dubbo,SSH,Spring,JQuery,分布式技术,全栈开发",物流/仓储,D轮及以上,10000人以上
UE4资深开发/专家,网易游戏,广州·天河区,25-50K·16薪,3-5年,本科,"ue4,c++,引擎",游戏,已上市,10000人以上
WXG 系统测试工程师（广州）,腾讯,广州·海珠区,25-50K·14薪,经验不限,本科,"测试工程师,软件测试,自动化测试,Python,Java,Shell,网络协议",互联网,已上市,10000人以上
安卓系统开发工程师,网易杭州,广州·天河区,25-50K·16薪,3-5年,本科,"Android,Linux,安卓底层,安卓内核,Framework",互联网,已上市,10000人以上
强化学习研究工程师,网易杭州,广州,25-50K·16薪,经验不限,本科,"深度学习算法,TensorFlow,Caffe,PyTorch,人工智能,游戏",互联网,已上市,10000人以上
资深java开发工程师-GZ,阿里巴巴集团,广州·天河区,25-50K,3-5年,本科,"Java,中间件,系统架构",互联网,不需要融资,10000人以上
售前政务应用架构师,腾讯,广州·海珠区,40-70K·18薪,5-10年,本科,"售前招投标,售前技术支持,售前需求分析",互联网,已上市,10000人以上
钉钉(Dingtalk)-资深JAVA开发工程师/专家,阿里巴巴集团,广州·海珠区,25-50K,3-5年,本科,"Java,后端开发,系统架构",互联网,不需要融资,10000人以上
腾讯企业微信终端开发（IOS/Mac）- 广州,腾讯,广州·海珠区,25-50K,经验不限,本科,"C/C++,Objective-C,IOS",互联网,已上市,10000人以上
WXG-企业邮箱Linux C/C++后台开发工程师,腾讯,广州·海珠区,30-60K·18薪,3-5年,本科,"C/C++,Linux,高并发",互联网,已上市,10000人以上
WXG-企业微信Mac开发工程师,腾讯,广州·海珠区,30-60K·18薪,3-5年,本科,"Objective-C,C/C++,SQLite",互联网,已上市,10000人以上
Senior Cosultant -OpenShift,IBM,广州·番禺区,30-50K,5-10年,本科,"系统架构,kubernets,k8s",互联网,已上市,10000人以上
腾讯微信-终端测试开发工程师（广州）,腾讯,广州·海珠区,30-60K,经验不限,本科,"测试开发,白盒测试,工具开发",互联网,已上市,10000人以上
高级JAVA工程师/技术专家,阿里巴巴集团,广州·越秀区,25-50K·16薪,3-5年,硕士,"Java,系统架构",互联网,不需要融资,10000人以上
UC事业部-iOS开发专家,阿里巴巴集团,广州·天河区,25-50K,3-5年,本科,"iOS SDK,objective-c,C/C++",互联网,不需要融资,10000人以上
资深前端开发工程师/前端技术专家 p6/p7/p8,蚂蚁金服,广州,28-55K·16薪,5-10年,硕士,"前端开发,Node.js,后端开发,全栈开发,TypeScript,Java,React,Egg.js",互联网,不需要融资,10000人以上
U3D客户端开发,网易,广州·天河区,25-50K·16薪,1-3年,本科,"C++,Python,Lua,U3D开发,C语言,Linux,游戏开发,游戏",移动互联网,已上市,10000人以上
云原生工程师架构师,蚂蚁金服,广州·天河区,30-50K,经验不限,本科,"Linux,Golang,Github",互联网,不需要融资,10000人以上
腾讯企业微信-web前端开发工程师（广州）,腾讯,广州·海珠区,25-50K,经验不限,本科,"javascript,css3,node.js",互联网,已上市,10000人以上
技术主管,分米互联,广州·海珠区,26-50K·15薪,5-10年,本科,Java,移动互联网,不需要融资,10000人以上
无线技术专家Android/iOS,阿里巴巴集团,广州·越秀区,25-50K,3-5年,本科,"hybird,Java",互联网,不需要融资,10000人以上
Java,阿里巴巴集团,广州,25-50K·16薪,经验不限,学历不限,"Java,Spring,分布式技术",互联网,不需要融资,10000人以上
微信质量平台全栈开发工程师,腾讯,广州·海珠区,25-50K,经验不限,本科,"JavaScript,HTML,CSS,Python,前端开发,全栈开发,Vue",互联网,已上市,10000人以上
腾讯企业邮箱-web前端开发工程师（广州）,腾讯,广州·海珠区,25-50K,经验不限,本科,"javascript,css3,node.js",互联网,已上市,10000人以上
企业微信Android客户端开发工程师（广州）,腾讯,广州·海珠区,25-50K,经验不限,本科,"java,Android,C/C++",互联网,已上市,10000人以上
WXG-企业微信运维工程师,腾讯,广州·海珠区,25-50K·18薪,3-5年,本科,"Linux,C++,sql",互联网,已上市,10000人以上
架构师,唯品会,广州·荔湾区,25-50K,10年以上,本科,"系统架构,应用架构,企业架构",互联网,已上市,10000人以上
企业邮箱后台开发工程师(广州),腾讯,广州·海珠区,25-50K,经验不限,本科,"C++,Linux",互联网,已上市,10000人以上
安卓系统开发工程师,网易游戏,广州·天河区,25-50K·16薪,3-5年,本科,"Android,Framework,Java,C++",游戏,已上市,10000人以上
阿里云智能事业群-测试开发专家-GTS,阿里巴巴集团,广州,25-50K·16薪,经验不限,本科,"测试工程师,自动化测试,软件测试,接口测试,性能测试,Java,分布式技术,计算机软件",互联网,不需要融资,10000人以上
后台开发工程师（微信+广州）,腾讯,广州·海珠区,30-60K,3-5年,本科,"C++,Linux,分布式技术,服务器配置",互联网,已上市,10000人以上
前端开发专家,阿里巴巴零售通,广州·增城区,25-50K·13薪,5-10年,本科,"前端开发,Node.js,Vue,React,移动端,JavaScript,小程序,Koa",互联网,不需要融资,10000人以上
集团支付中台java高级工程师（杭州工作）,阿里巴巴集团,广州,25-50K·13薪,3-5年,本科,"Java,SQL,Spring,Struts,分布式技术,MySQL,Oracle,Linux",互联网,不需要融资,10000人以上
